-4.514854550361633301e-01 -6.999666094779968262e-01 2.000000029802322388e-01 1.519999980926513672e+00
-7.403679490089416504e-01 -7.672581076622009277e-01 -7.999999821186065674e-02 1.559999942779541016e+00
-2.000000000000000000e+00 -2.345739901065826416e-01 3.199999928474426270e-01 1.120000004768371582e+00
-2.000000000000000000e+00 2.722374200820922852e-01 1.679999947547912598e+00 1.559999942779541016e+00
-2.000000000000000000e+00 4.766557514667510986e-01 1.559999942779541016e+00 -1.960000038146972656e+00
-2.000000000000000000e+00 3.762528002262115479e-01 5.026807188987731934e-01 2.000000000000000000e+00
-2.000000000000000000e+00 3.795954287052154541e-01 -1.890379309654235840e+00 1.373741149902343750e+00
-1.335878491401672363e+00 2.000000000000000000e+00 -2.000000000000000000e+00 -2.000000000000000000e+00
-2.000000000000000000e+00 4.140830338001251221e-01 1.073313206434249878e-01 1.744868278503417969e+00
-2.000000000000000000e+00 2.574009597301483154e-01 -8.087332844734191895e-01 1.082241654396057129e+00
-9.157882332801818848e-01 1.893400251865386963e-01 3.770892322063446045e-02 1.321360230445861816e+00
-5.071134567260742188e-01 -1.776550710201263428e-01 -1.241550326347351074e+00 -6.233244538307189941e-01
-2.000000000000000000e+00 -2.243662625551223755e-02 -1.748266577720642090e+00 9.615328907966613770e-02
-4.182748496532440186e-01 -5.069084763526916504e-01 -1.270560383796691895e+00 1.598945975303649902e+00
-2.000000000000000000e+00 5.597453713417053223e-01 -1.067689657211303711e-01 1.374877572059631348e+00
2.690688073635101318e-01 1.666324436664581299e-01 -6.308392286300659180e-01 -1.988629817962646484e+00
-2.000000000000000000e+00 -1.012394666671752930e+00 1.909697055816650391e-01 -5.841479301452636719e-01
-2.000000000000000000e+00 9.273791313171386719e-02 2.000000000000000000e+00 -5.086311697959899902e-01
-2.000000000000000000e+00 2.000000000000000000e+00 -1.418794155120849609e+00 -2.000000000000000000e+00
-2.000000000000000000e+00 -7.142309844493865967e-02 4.953831434249877930e-01 -1.737562008202075958e-02
-2.000000000000000000e+00 2.081921100616455078e-01 -1.438350677490234375e+00 1.963426589965820312e+00
-3.065068125724792480e-01 -5.659008026123046875e-01 -3.095966875553131104e-01 -2.000000000000000000e+00
-2.000000000000000000e+00 1.246090009808540344e-01 4.708686098456382751e-02 2.000000000000000000e+00
-1.399999976158142090e+00 1.199999973177909851e-01 -1.355461835861206055e+00 6.956886053085327148e-01
-2.000000000000000000e+00 1.979786902666091919e-01 -2.000000000000000000e+00 2.000000000000000000e+00
-2.000000000000000000e+00 1.609556972980499268e-01 -1.081830978393554688e+00 -1.561937570571899414e+00
-1.720717787742614746e+00 -1.037795692682266235e-01 6.898937225341796875e-01 -2.000000000000000000e+00
-2.000000000000000000e+00 5.711706876754760742e-01 -4.255087077617645264e-01 9.884159564971923828e-01
-2.000000000000000000e+00 4.924749024212360382e-03 -5.472684502601623535e-01 4.424161016941070557e-01
-2.000000000000000000e+00 -2.071383967995643616e-02 -1.154554724693298340e+00 1.200263202190399170e-02
